,ssc_name,total_persons
649,BROUGHTON,95
650,BROUGHTON VALE,172
651,BROUGHTON VILLAGE,89
652,BULEE,0
653,BULGA,359
654,BULGA FOREST,6
655,BULGARY,13
656,BULLA,5
657,BULLA CREEK,58
658,BULLABURRA,1275
659,BULLAGREEN,45
660,BULLARAH,114
661,BULLATALE,42
662,BULLAWA CREEK,106
663,BULLDOG,28
664,BULLI,6404
665,BULLIAC,46
666,BULLIO,88
667,BULYEROI,17
668,BUMBALDRY,103
669,BUMBALONG,25
670,BUNDABAH,109
671,BUNDAGEN,138
672,BUNDANOON,2835
673,BUNDARRA,696
674,BUNDEENA,2037
675,BUNDELLA,71
676,BUNDEMAR,41
677,BUNDEWALLAH,47
678,BUNDOOK,101
679,BUNDURE,7
680,BUNGABA,97
681,BUNGABBEE,0
682,BUNGALORA,70
683,BUNGARBY,75
684,BUNGARRIBEE,2993
685,BUNGAWALBIN,123
686,BUNGENDORE,4594
687,BUNGONIA,392
688,BUNGOWANNAH,170
689,BUNGWAHL,235
690,BUNNALOO,101
691,BUNNAN,106
692,BUNYAH,146
693,BUNYAN,162
694,BURCHER,83
695,BUREEN,59
696,BURNT BRIDGE,157
697,BURNT YARDS,32
698,BURONGA,1240
699,BURRA (QUEANBEYAN-PALERANG REGIONAL),852
700,BURRA (SNOWY VALLEYS),67
701,BURRA CREEK,83
702,CABARITA,2126
703,CABARITA BEACH,115
704,CABBAGE TREE ISLAND (BALLINA),82
705,CABBAGE TREE ISLAND (MID-COAST),9
706,CABRAMATTA,22797
707,CABRAMATTA WEST,7696
708,CABRAMURRA,34
709,CADDENS,1669
710,CADGEE,44
711,CADIA,1
712,CAFFREYS FLAT,53
713,CAIRNCROSS,5
714,CALALA,4042
715,CALAMIA,13
716,BURRABOI,63
717,BURRADOO,2793
718,BURRAGA,94
719,BURRAGATE,103
720,BURRANDANA,22
721,BURRANEER,3835
722,BURRANGONG,241
723,BURRAPINE,58
724,BURRAWANG,381
725,BURRELL CREEK,231
726,BURREN JUNCTION,272
727,BURRIER,49
728,BURRILL LAKE,1586
729,BURRINGBAR,899
730,BURRINJUCK,19
731,BURROWAY,122
732,BURRUMBUTTOCK,386
733,BURRUNDULLA,153
734,BURWOOD,17500
735,BURWOOD HEIGHTS,1060
736,BUSBY,4519
737,BUSBYS FLAT,35
738,BUSHELLS RIDGE,16
739,BUTTABA,1153
740,BUTTAI,59
741,BUTTERWICK,140
742,BUXTON,2162
743,BYABARRA,345
744,BYADBO WILDERNESS,0
745,BYANGUM,141
746,BYLONG,22
747,BYNG,53
748,BYROCK,48
749,BYRON BAY,6123
750,BYRRILL CREEK,131
751,BYWONG,1409
752,CALDERWOOD,186
753,CALDWELL,32
754,CALGA,151
755,CALIFAT,12
756,CALIMO,69
757,CALLAGHAN,1464
758,CALLAGHANS CREEK,7
759,CALLALA BAY,2269
760,CALLALA BEACH,830
761,CALLIOPE,104
762,CALOOLA,89
763,CAMBALONG,0
764,CAMBERWELL,85
765,CAMBEWARRA,250
766,CAMBEWARRA VILLAGE,1176
767,CAMBOON,39
768,CAMBRA,28
769,CAMBRIDGE GARDENS,2052
770,CAMBRIDGE PARK,6966
771,CAMBRIDGE PLATEAU,2
772,CAMDEN,3333
773,CAMDEN HEAD,162
774,CAMDEN PARK,2330
775,CAMDEN SOUTH,4706
776,CAMELLIA,0
777,CAMERON PARK,8774
778,CAMERONS CREEK,49
779,CAMIRA,31
780,CAMMERAY,7589
781,CAMP CREEK,22
782,CAMPBELLTOWN,14193
783,CAMPERDOWN,11911
784,CAMPSIE,26832
785,CAMPVALE,42
786,CAMS WHARF,145
787,CANADA BAY,1316
788,CANADIAN LEAD,13
789,CANBELEGO,41
790,CANDELO,701
791,CANGAI,38
792,CANIABA,677
793,CANLEY HEIGHTS,11646
794,CANLEY VALE,10757
795,CANOBOLAS,463
796,CANOELANDS,181
797,CANONBA,22
798,CANOWINDRA,2295
799,CANTERBURY,8245
800,CANTON BEACH,1260
801,CANYONLEIGH,424
802,CAPARRA,76
803,CAPEEN CREEK,8
804,CAPERTEE,151
805,CAPOOMPETA,2
806,CAPTAINS FLAT,667
807,CARABOST,53
808,CARAGABAL,184
809,CARCALGONG,45
810,CARCOAR,303
811,CARDIFF,6002
812,CARDIFF HEIGHTS,1494
813,CARDIFF SOUTH,2937
814,CAREY BAY,916
815,CARGO,612
816,CARINDA,156
817,CARINGBAH,12488
818,CARINGBAH SOUTH,12892
819,CARLAMINDA,40
820,CARLINGFORD,27140
821,CARLTON,11609
822,CARNES HILL,2335
823,CARNHAM,9
824,CAROOL,181
825,CAROONA,206
826,CARRABOLLA,7
827,CARRAI,1
828,CARRAMAR,3761
829,CARRATHOOL,243
830,CARRICK,137
831,CARRINGTON (MID-COAST),30
832,CARRINGTON (NEWCASTLE),2066
833,CARRINGTON FALLS,20
834,CARROLL,335
835,CARROWBROOK,38
836,CARRS CREEK,137
837,CARRS ISLAND,11
838,CARRS PENINSULA,23
839,CARSS PARK,1322
840,CARTWRIGHT,2528
841,CARTWRIGHTS HILL,213
842,CARWELL,18
843,CARWOOLA,1523
844,CASCADE,7
845,CASINO,11227
846,CASSILIS,316
847,CASTLE COVE,2664
848,CASTLE DOYLE,162
849,CASTLE HILL,41430
850,CASTLE ROCK,174
851,CASTLECRAG,3065
852,CAWONGLA,193
853,CECIL HILLS,7306
854,CECIL PARK,848
855,CEDAR BRUSH CREEK,119
856,CEDAR CREEK (CESSNOCK),33
857,CEDAR CREEK (TWEED),22
858,CEDAR PARTY,363
859,CEDAR POINT,176
860,CELLS RIVER,1
861,CENTENNIAL PARK,2548
862,CENTRAL COLO,31
863,CENTRAL MACDONALD,54
864,CENTRAL MANGROVE,279
865,CENTRAL TILBA,293
866,CESSNOCK,16131
867,CHAELUNDI,0
868,CHAIN VALLEY BAY,2575
869,CHAKOLA,50
870,CHAMBIGNE,58
871,CHARBON,128
872,CHARLES STURT UNIVERSITY,380
873,CHARLESTOWN,13397
874,CHARLEYS FOREST,68
875,CHARLOTTE BAY,180
876,CHARLTON,24
877,CHARMHAVEN,2594
878,CHATHAM VALLEY,24
879,CHATSBURY,95
880,CHATSWOOD,27015
881,CHATSWOOD WEST,1659
882,CHATSWORTH,169
883,CHEERO POINT,90
884,CHELTENHAM,2334
885,CHERRY TREE HILL,67
886,CHERRYBROOK,19440
887,CHESTER HILL,13857
888,CASTLEREAGH,1310
889,CASUARINA,2979
890,CASULA,16821
891,CATALINA,2423
892,CATARACT,5
893,CATHCART,111
894,CATHERINE FIELD,2567
895,CATHERINE HILL BAY,165
896,CATHUNDRAL,46
897,CATTAI,821
898,CATTLE CREEK,33
899,CAVAN,52
900,CAVES BEACH,4171
901,CAWDOR,480
902,CHICHESTER,27
903,CHIFLEY,3538
904,CHILCOTTS CREEK,5
905,CHILCOTTS GRASS,235
906,CHILLINGHAM,238
907,CHINDERAH,1741
908,CHINNOCK,22
909,CHIPPENDALE,10097
910,CHIPPING NORTON,9756
911,CHISHOLM,1878
912,CHISWICK,3170
913,CHITTAWAY BAY,2061
914,CHITTAWAY POINT,969
915,CHOWAN CREEK,36
916,CHULLORA,0
917,CHURCH POINT,1045
918,CLANDULLA,193
919,CLARE,18
920,CLAREMONT MEADOWS,5344
921,CLARENCE,209
922,CLARENCE TOWN,2097
923,CLARENDON,127
924,CLARENZA,553
925,CLAREVILLE,764
926,CLAYMORE,2697
927,CLEAR CREEK,120
928,CLEAR RANGE,35
929,CLEARFIELD,7
930,CLEMTON PARK,1802
931,CLERGATE,220
932,CLEVELAND,22
933,CLIFDEN,29
934,CLIFTLEIGH,917
935,CLIFTON,31
936,CLIFTON GROVE,913
937,CLONTARF,1835
938,CLOTHIERS CREEK,286
939,CLOUDS CREEK,4
940,CLOVELLY,5260
941,CLUNES,901
942,CLYBUCCA,145
943,CLYDE,6
944,CLYDESDALE,83
945,COAL POINT,1777
946,COALCLIFF,200
947,COALDALE,63
948,COASTERS RETREAT,48
949,COBAKI,210
950,COBAKI LAKES,44
951,COBAR,4050
952,COMBOYNE,478
953,COME BY CHANCE,123
954,COMERONG ISLAND,14
955,COMMISSIONERS CREEK,65
956,COMO,4140
957,COMOBELLA,63
958,CONARGO,124
959,CONCORD,15818
960,COBAR PARK,41
961,COBARGO,790
962,COBARK,44
963,COBBADAH,90
964,COBBITTY,3038
965,COBRAMUNGA,33
966,COCKWHY,18
967,CODRINGTON,68
968,COFFEE CAMP,214
969,COFFS HARBOUR,26877
970,COGGAN,7
971,COGRA BAY,17
972,COILA,51
973,COLDSTREAM,45
974,COLEAMBALLY,1354
975,COLEBEE,2693
976,COLEDALE,1320
977,COLINROOBIE,66
978,COLINTON,133
979,COLLARENEBRI,647
980,COLLAROY,8429
981,COLLAROY PLATEAU,5116
982,COLLECTOR,335
983,COLLENDINA,107
984,COLLERINA,49
985,COLLIE,193
986,COLLINGULLIE,235
987,COLLINGWOOD,43
988,COLLINS CREEK,134
989,COLLOMBATTI,667
990,COLLUM COLLUM,0
991,COLLY BLUE,33
992,COLO (BATHURST REGIONAL),6
993,COLO (HAWKESBURY),64
994,COLO HEIGHTS,348
995,COLO VALE,1711
996,COLONGRA,0
997,COLYTON,8856
998,COMARA,18
999,COMBANING,110
1000,COMBARA,79
1001,COMBERTON,30
1002,CONCORD WEST,6409
1003,CONDELL PARK,12836
1004,CONDOBOLIN,3501
1005,CONDONG,317
1006,CONEAC,22
1007,CONGARINNI,342
1008,CONGARINNI NORTH,375
1009,CONGEWAI,192
1010,CONGO,259
1011,CONIMBIA,12
1012,CONISTON,2440
1013,CONJOLA,149
1014,CONJOLA PARK,367
1015,CONNELLS POINT,3029
1016,CONSTITUTION HILL,4205
1017,COOGEE,16798
1018,COOKAMIDGERA,161
1019,COOKARDINIA,70
1020,COOKS GAP,560
1021,COOKS HILL,4051
1022,COOKS MYALLS,48
1023,COOLABAH,71
1024,COOLAC,217
1025,COOLAGOLITE,282
1026,COOLAH,1314
1027,COOLAMON,2164
1028,COOLANGATTA,342
1029,COOLANGUBRA,0
1030,COOLATAI,127
1031,COOLEMAN,0
1032,COOLEYS CREEK,9
1033,COOLGARDIE,130
1034,COOLONGOLOOK,405
1035,COOLRINGDON,70
1036,COOLUMBOOKA,4
1037,COOLUMBURRA,2
1038,COOMA,6815
1039,COOMBA BAY,129
1040,COOMBA PARK,661
1041,COOMBADJHA,18
1042,COOMBELL,21
1043,COOMEALLA,851
1044,COOMOO COOMOO,10
1045,COONABARABRAN,3287
1046,COONAMBLE,2817
1047,COONGBAR,4
1048,COOPERABUNG,314
1049,COOPERNOOK,541
1050,COOPERS GULLY,169
1051,COOPERS SHOOT,287
